summary_metric,value
total_files_processed,212
avg_noise_reduction_pct,21.83
avg_spectral_sparsity_pct,87.84
peak_in_target_band_pct,85.8
avg_target_band_retention_pct,77.59
avg_machine_band_suppression_pct,83.17
avg_target_machine_gain_db,9.19
avg_target_band_similarity,0.965
avg_core_rumble_retention_pct,77.14

detailed_clip_metrics
clip,call_type,selected_preset,candidate_score,has_safe_noise,has_context,reduction_pct,sparsity_pct,peak_freq_hz,peak_in_target_band,target_band_retention_pct,machine_band_suppression_pct,target_machine_ratio_gain_db,target_band_cosine_similarity,core_rumble_retention_pct,target_band_low_hz,target_band_high_hz,noise_reference_match_reduction_db,context_elephant_band_energy
call_123.wav,rumble,rumble_aggressive,61.618143208872254,1,1,31.118105904317993,97.42233632862644,30.403537866224436,1,54.657099588562716,99.9481036204277,30.225095204913664,0.8977490067481995,54.657099588562716,10.0,150.0,32.848629386177734,42993.609375
call_152.wav,rumble,rumble_aggressive,60.03069625714359,1,1,44.299532446918356,96.25087108013938,72.3548205224582,1,53.25700759490272,99.93247641867575,28.969212922522928,0.8960672616958618,53.25700759490272,10.0,150.0,31.70544531605082,70934.453125
call_159.wav,rumble,rumble_aggressive,60.63194777427043,1,1,42.01201806657433,96.18443033745406,72.3698422985526,1,56.14266957545651,99.92560236249275,28.777339146564046,0.9073729515075684,56.14266957545651,10.0,150.0,31.28440855229998,32239.9140625
call_70.wav,rumble,rumble_aggressive,58.73159344470079,1,1,31.395814398061628,97.73417374623185,25.0,1,50.4542820243391,99.92866453170012,28.495925138207273,0.8811233043670654,50.4542820243391,10.0,150.0,31.4669448337415,83028.140625
call_153.wav,rumble,rumble_aggressive,60.356167297121985,1,1,37.45724414290994,95.09451219512195,28.189910979228486,1,67.94442527632455,99.82737937866838,25.950611539331987,0.904127299785614,67.94442527632455,10.0,150.0,27.629073245210506,35262.140625
call_160.wav,rumble,rumble_aggressive,58.9072932090547,1,1,38.15815908817009,95.28550932568149,28.195488721804512,1,66.02365443395158,99.79063879327433,24.988033461757656,0.899575412273407,66.02365443395158,10.0,150.0,26.791037871542763,18644.78125
call_137.wav,rumble,rumble_aggressive,56.0882232772807,1,1,42.39316276522368,93.05555555555556,73.1948565776459,1,59.18642864529503,99.75629303910574,23.85354201173852,0.8866904973983765,59.18642864529503,10.0,150.0,26.131320660750376,65287.26953125
call_51.wav,rumble,rumble_balanced,60.320359739503814,1,1,14.514714462367484,94.91463414634146,27.941176470588236,1,74.44329807145034,99.68147948747875,23.68688199627375,0.961139440536499,74.44329807145034,10.0,150.0,24.9686259413556,97624.9765625
call_161.wav,rumble,rumble_preserve,50.1772712992327,1,1,58.19177657580079,85.58780487804879,70.71498530852105,1,38.076224622011914,99.82481850688514,23.371656565562237,0.9336912035942078,38.076224622011914,10.0,150.0,27.565117763792827,36967.54296875
call_117.wav,rumble,rumble_aggressive,55.96225012419357,1,1,23.756885657607175,93.93791574279379,34.25309229305424,1,59.94122665785761,99.67874354258926,22.70873760294786,0.9476030468940735,59.94122665785761,10.0,150.0,24.93148134042722,58168.19921875
call_101.wav,rumble,rumble_balanced,65.26523493550461,1,1,2.313155218185814,95.47528015820698,27.332906256673073,1,100.01365718712204,99.4606298323911,22.68172386267669,0.9843218922615051,100.01365718712204,10.0,150.0,22.6811307790745,137475.734375
call_99.wav,rumble,rumble_aggressive,54.68658553470831,1,1,25.424627616251772,93.61463414634147,24.00835073068893,1,59.01336405644392,99.66094194995941,22.406763122840264,0.8926344513893127,59.01336405644392,10.0,150.0,24.697259399851774,72922.015625
call_154.wav,rumble,rumble_preserve,41.82334912546079,1,1,59.88136019718971,85.81397271599835,70.83056478405315,1,31.24486558475228,99.78518709763335,21.62718297714603,0.9349033236503601,31.24486558475228,10.0,150.0,26.679396370397388,98293.0546875
call_18.wav,rumble,rumble_aggressive,55.34081077374079,1,1,23.73771795274042,95.64390243902439,28.191072826938132,1,65.7131556207836,99.53774376039652,21.527695409658328,0.8968729376792908,65.7131556207836,10.0,150.0,23.351172179575254,35553.97265625
